ppdbench_file_name,pdb_id,sequence,chain_id,PLIP_file_name1,uniprot_id,validated
1cjr.lig.pdb,1cjr,,a,1cjr_a_result,P61823,YES
1cka.lig.pdb,1cka,,b,1cka_b_result,,YES
1cvu.lig.pdb,1cvu,,f,1cvu_f_result,,YES
1d4t.lig.pdb,1d4t,,b,1d4t_b_result,Q13291,YES
1eg4.lig.pdb,1eg4,,p,1eg4_p_result,Q14118,YES
1h6w.lig.pdb,1h6w,,b,1h6w_b_result,P10930,YES
1hc9.lig.pdb,1hc9,,c,1hc9_c_result,,YES
1jbu.lig.pdb,1jbu,,,,,
1k5n.lig.pdb,1k5n,,,,,
1mfg.lig.pdb,1mfg,,,,,
1nln.lig.pdb,1nln,,,,,
1nq7.lig.pdb,1nq7,,,,,
1ntv.lig.pdb,1ntv,,,,,
1nx1.lig.pdb,1nx1,,,,,
1oai.lig.pdb,1oai,,,,,
1oj5.lig.pdb,1oj5,,,,,
1ou8.lig.pdb,1ou8,,,,,
1ow6.lig.pdb,1ow6,,,,,
1pzl.lig.pdb,1pzl,,,,,
1qkz.lig.pdb,1qkz,,,,,
1rst.lig.pdb,1rst,,,,,
1rxz.lig.pdb,1rxz,,,,,
1sfi.lig.pdb,1sfi,,,,,
1ssh.lig.pdb,1ssh,,,,,
1t08.lig.pdb,1t08,,,,,
1t4f.lig.pdb,1t4f,,,,,
1t7r.lig.pdb,1t7r,,,,,
1tfc.lig.pdb,1tfc,,,,,
1u00.lig.pdb,1u00,,,,,
1uj0.lig.pdb,1uj0,,,,,
1x2r.lig.pdb,1x2r,,,,,
1xoc.lig.pdb,1xoc,,,,,
1ymt.lig.pdb,1ymt,,,,,
1yuc.lig.pdb,1yuc,,,,,
1ywo.lig.pdb,1ywo,,,,,
2a25.lig.pdb,2a25,,,,,
2a3i.lig.pdb,2a3i,,,,,
2aq9.lig.pdb,2aq9,,,,,
2b9h.lig.pdb,2b9h,,,,,
2bba.lig.pdb,2bba,,,,,
